frequency	V(onoise)/1000
1.000000000000000e+00	1.637676865580935e-09
1.023292992280754e+00	1.616930293505918e-09
1.047128548050899e+00	1.596270132358501e-09
1.071519305237606e+00	1.575693517603910e-09
1.096478196143185e+00	1.555197822891806e-09
1.122018454301963e+00	1.534780665038897e-09
1.148153621496882e+00	1.514439918844601e-09
1.174897554939529e+00	1.494173727833320e-09
1.202264434617413e+00	1.473980513330473e-09
1.230268770812381e+00	1.453858984648223e-09
1.258925411794167e+00	1.433808148310654e-09
1.288249551693134e+00	1.413827314334257e-09
1.318256738556407e+00	1.393916103723384e-09
1.348962882591653e+00	1.374074455739651e-09
1.380384264602885e+00	1.354302630351033e-09
1.412537544622754e+00	1.334601212152205e-09
1.445439770745927e+00	1.314971112812088e-09
1.479108388168207e+00	1.295413568659514e-09
1.513561248436208e+00	1.275930143315980e-09
1.548816618912481e+00	1.256522721680614e-09
1.584893192461113e+00	1.237193503776863e-09
1.621810097358929e+00	1.217945002420904e-09
1.659586907437560e+00	1.198780031404844e-09
1.698243652461743e+00	1.179701696485386e-09
1.737800828749374e+00	1.160713382985580e-09
1.778279410038922e+00	1.141818743369728e-09
1.819700858609982e+00	1.123021679451966e-09
1.862087136662866e+00	1.104326328372224e-09
1.905460717963246e+00	1.085737040207733e-09
1.949844599758044e+00	1.067258363811826e-09
1.995262314968878e+00	1.048895019204337e-09
2.041737944669527e+00	1.030651879828221e-09
2.089296130854037e+00	1.012533948202740e-09
2.137962089502230e+00	9.945463302083129e-10
2.187761623949550e+00	9.766942133726451e-10
2.238721138568337e+00	9.589828396091629e-10
2.290867652767770e+00	9.414174805195499e-10
2.344228815319919e+00	9.240034126435210e-10
2.398832919019488e+00	9.067458919934839e-10
2.454708915685027e+00	8.896501297125345e-10
2.511886431509577e+00	8.727212669490080e-10
2.570395782768860e+00	8.559643525464319e-10
2.630267991895378e+00	8.393843202760395e-10
2.691534803926912e+00	8.229859666882167e-10
2.754228703338163e+00	8.067739316952721e-10
2.818382931264450e+00	7.907526796335463e-10
2.884031503126602e+00	7.749264809879417e-10
2.951209226666381e+00	7.592993972014982e-10
3.019951720402012e+00	7.438752661071442e-10
3.090295432513586e+00	7.286576889982795e-10
3.162277660168374e+00	7.136500198175544e-10
3.235936569296277e+00	6.988553559238738e-10
3.311311214825905e+00	6.842765300691241e-10
3.388441561392020e+00	6.699161048856145e-10
3.467368504525310e+00	6.557763681261608e-10
3.548133892335748e+00	6.418593303892929e-10
3.630780547701007e+00	6.281667238732028e-10
3.715352290971718e+00	6.147000023755119e-10
3.801893963205605e+00	6.014603433098082e-10
3.890451449942799e+00	5.884486506808575e-10
3.981071705534965e+00	5.756655590732071e-10
4.073802778041119e+00	5.631114393174301e-10
4.168693834703346e+00	5.507864044697682e-10
4.265795188015918e+00	5.386903173844975e-10
4.365158322401651e+00	5.268227985188298e-10
4.466835921509622e+00	5.151832347749570e-10
4.570881896148741e+00	5.037707888499150e-10
4.677351412871972e+00	4.925844090733266e-10
4.786300923226373e+00	4.816228395436017e-10
4.897788193684452e+00	4.708846308891139e-10
5.011872336272712e+00	4.603681508192785e-10
5.128613839913638e+00	4.500715952718131e-10
5.248074602497715e+00	4.399929992081573e-10
5.370317963702516e+00	4.301302478591640e-10
5.495408738576233e+00	4.204810873450610e-10
5.623413251903478e+00	4.110431358141155e-10
5.754399373371556e+00	4.018138938675420e-10
5.888436553555876e+00	3.927907551232518e-10
6.025595860743564e+00	3.839710163834127e-10
6.165950018614807e+00	3.753518874016100e-10
6.309573444801917e+00	3.669305006241371e-10
6.456542290346539e+00	3.587039202981101e-10
6.606934480075944e+00	3.506691513857291e-10
6.760829753919801e+00	3.428231480479104e-10
6.918309709189348e+00	3.351628217033862e-10
7.079457843841362e+00	3.276850487824861e-10
7.244359600749883e+00	3.203866779523910e-10
7.413102413009157e+00	3.132645370769812e-10
7.585775750291819e+00	3.063154396672911e-10
7.762471166286898e+00	2.995361909718147e-10
7.943282347242794e+00	2.929235936825085e-10
8.128305161640972e+00	2.864744532447390e-10
8.317637711026689e+00	2.801855827787001e-10
8.511380382023743e+00	2.740538076640174e-10
8.709635899560784e+00	2.680759697403698e-10
8.912509381337431e+00	2.622489311717681e-10
9.120108393559072e+00	2.565695779983421e-10
9.332543007969884e+00	2.510348233411316e-10
9.549925860214332e+00	2.456416103413941e-10
9.772372209558078e+00	2.403869147577279e-10
9.999999999999970e+00	2.352677473529124e-10
1.023292992280751e+01	2.302811559724599e-10
1.047128548050896e+01	2.254242273994022e-10
1.071519305237603e+01	2.206940889543790e-10
1.096478196143182e+01	2.160879099128533e-10
1.122018454301960e+01	2.116029026800702e-10
1.148153621496879e+01	2.072363237926419e-10
1.174897554939526e+01	2.029854747484041e-10
1.202264434617409e+01	1.988477026499022e-10
1.230268770812378e+01	1.948204006958447e-10
1.258925411794163e+01	1.909010085522118e-10
1.288249551693130e+01	1.870870125543449e-10
1.318256738556403e+01	1.833759458110608e-10
1.348962882591649e+01	1.797653882047672e-10
