time	V(out)	V(n003)
0.000000000000000e+00	1.501499999981962e-11	0.000000000000000e+00
4.882812470324849e-12	3.827065426763369e-12	0.000000000000000e+00
9.765624940649698e-12	1.466308550346473e-13	0.000000000000000e+00
1.953124988129940e-11	2.932617132748237e-13	0.000000000000000e+00
3.906249976259879e-11	5.865234302258283e-13	0.000000000000000e+00
7.812499952519758e-11	1.173046864159650e-12	0.000000000000000e+00
1.562499990503952e-10	2.346093732015302e-12	0.000000000000000e+00
3.124999981007903e-10	4.692187467731439e-12	0.000000000000000e+00
6.249999962015806e-10	9.384374939159919e-12	0.000000000000000e+00
1.249999992403161e-09	1.876874988201254e-11	0.000000000000000e+00
2.499999984806323e-09	3.753749976769520e-11	0.000000000000000e+00
4.999999969612645e-09	7.507499953897272e-11	0.000000000000000e+00
9.999999939225290e-09	1.501499990811754e-10	0.000000000000000e+00
1.999999987845058e-08	3.002999981641718e-10	0.000000000000000e+00
3.999999975690116e-08	6.005999963245284e-10	0.000000000000000e+00
7.999999951380232e-08	1.201199992622696e-09	0.000000000000000e+00
1.599999990276046e-07	2.402399985128852e-09	0.000000000000000e+00
3.199999980552093e-07	4.804799969780443e-09	0.000000000000000e+00
6.399999961104186e-07	9.609599937823171e-09	0.000000000000000e+00
1.128281246110419e-06	1.694114289969510e-08	0.000000000000000e+00
1.616562496110419e-06	2.427268585829234e-08	0.000000000000000e+00
2.104843746110419e-06	3.160422881330613e-08	0.000000000000000e+00
2.593124996110419e-06	3.893577176473649e-08	0.000000000000000e+00
3.081406246110419e-06	4.626731471258341e-08	0.000000000000000e+00
3.569687496110419e-06	5.359885765684689e-08	0.000000000000000e+00
4.057968746110418e-06	6.093040059752692e-08	0.000000000000000e+00
4.546249996110419e-06	6.826194353462354e-08	0.000000000000000e+00
5.034531246110419e-06	7.559348646813671e-08	0.000000000000000e+00
5.522812496110420e-06	8.292502939806648e-08	0.000000000000000e+00
6.011093746110420e-06	9.025657232441277e-08	0.000000000000000e+00
6.499374996110420e-06	9.758811524717566e-08	0.000000000000000e+00
6.987656246110421e-06	1.049196581663551e-07	0.000000000000000e+00
7.475937496110421e-06	1.122512010819511e-07	0.000000000000000e+00
7.964218746110422e-06	1.195827439939636e-07	0.000000000000000e+00
8.452499996110422e-06	1.269142869023927e-07	0.000000000000000e+00
8.940781246110423e-06	1.342458298072384e-07	0.000000000000000e+00
9.429062496110423e-06	1.415773727085006e-07	0.000000000000000e+00
9.917343746110423e-06	1.489089156061794e-07	0.000000000000000e+00
1.040562499611042e-05	1.562404585002748e-07	0.000000000000000e+00
1.089390624611042e-05	1.635720013907867e-07	0.000000000000000e+00
1.138218749611042e-05	1.709035442777152e-07	0.000000000000000e+00
