x	ro
0.000000000000000e+00	-2.181728e+07
1.000000000000000e+00	2.540436e+08
2.000000000000000e+00	-6.632625e+06
3.000000000000000e+00	-9.285722e+06
4.000000000000000e+00	4.600665e+06
5.000000000000000e+00	-5.599814e+06
6.000000000000000e+00	-1.445429e+07
7.000000000000000e+00	1.040618e+07
8.000000000000000e+00	-1.489180e+07
9.000000000000000e+00	-1.779963e+07
1.000000000000000e+01	1.018164e+07
1.100000000000000e+01	1.821791e+07
1.200000000000000e+01	6.889978e+06
1.300000000000000e+01	7.672147e+06
1.400000000000000e+01	9.462489e+06
1.500000000000000e+01	4.012674e+06
1.600000000000000e+01	1.142477e+08
1.700000000000000e+01	2.219198e+07
1.800000000000000e+01	-3.858784e+07
1.900000000000000e+01	4.790350e+06
2.000000000000000e+01	5.687084e+07
2.100000000000000e+01	-4.464801e+06
2.200000000000000e+01	-2.528922e+06
2.300000000000000e+01	1.536831e+07
2.400000000000000e+01	-2.507092e+08
2.500000000000000e+01	1.649635e+07
2.600000000000000e+01	-5.386014e+06
2.700000000000000e+01	7.288639e+07
2.800000000000000e+01	6.634901e+07
2.900000000000000e+01	2.756558e+07
3.000000000000000e+01	-3.795962e+07
3.100000000000000e+01	-1.571736e+07
3.200000000000000e+01	-1.208780e+07
3.300000000000000e+01	1.431652e+07
3.400000000000000e+01	7.735247e+06
3.500000000000000e+01	-2.648353e+07
3.600000000000000e+01	-3.724412e+07
3.700000000000000e+01	-7.933989e+06
3.800000000000000e+01	5.538330e+06
3.900000000000000e+01	-1.012819e+07
4.000000000000000e+01	3.995846e+06
4.100000000000000e+01	-5.419172e+06
4.200000000000000e+01	-6.785892e+06
4.300000000000000e+01	8.197494e+06
4.400000000000000e+01	1.042756e+07
4.500000000000000e+01	2.281411e+07
4.600000000000000e+01	-4.759207e+07
4.700000000000000e+01	-3.446435e+06
4.800000000000000e+01	-5.804042e+06
4.900000000000000e+01	1.088350e+07
5.000000000000000e+01	-6.728526e+06
5.100000000000000e+01	-2.286744e+07
5.200000000000000e+01	8.362080e+06
5.300000000000000e+01	2.218385e+07
5.400000000000000e+01	1.246863e+07
5.500000000000000e+01	-1.793253e+07
